zoneId,row,column
64,N,27
83,L,27
100,C,30
25,D,10
36,Z,7
81,J,30
43,T,27
9,G,4
5,N,11
96,K,24
91,W,14
70,X,17
28,D,29
36,C,13
87,B,22
47,N,19
62,K,2
73,H,8
100,I,22
22,J,1
19,J,23
75,O,30
67,G,3
48,I,26
45,P,6
67,O,27
18,E,19
54,B,24
10,U,8
94,U,14
89,X,4
80,N,29
61,Y,7
60,O,22
43,W,29
75,D,3
28,X,13
22,C,18
72,Q,25
24,F,24
7,F,6
50,U,1
68,O,4
12,U,10
49,W,11
92,U,22
39,V,17
2,E,17
28,U,17
49,X,21
60,F,20
65,G,2
27,R,26
13,W,12
24,E,25
87,E,17
65,R,1
86,C,12
7,B,5
15,F,2
79,M,11
62,L,15
94,O,13
58,F,1
78,W,7
83,D,25
57,Z,17
52,L,11
60,V,24
4,X,9
9,N,17
72,G,4
50,L,26
75,Q,7
90,C,30
97,I,10
26,A,29
4,E,22
50,Y,28
84,G,23
78,D,28
96,G,16
46,S,25
53,Q,16
85,J,15
83,Z,2
29,F,7
91,H,19
53,E,28
99,U,14
75,Z,1
53,C,29
52,D,12
97,C,19
56,C,24
26,A,26
15,I,17
55,M,26
80,T,19
50,Z,11
25,Z,8
3,Y,24
51,H,1
58,B,15
7,E,6
86,D,20
90,H,14
60,O,17
73,F,13
71,E,28
1,A,26
90,E,24
15,Z,18
64,G,15
21,R,11
89,L,11
98,P,27
55,C,10
64,X,18
8,Q,8
21,Y,29
8,S,11
86,G,12
55,K,15
42,U,16
22,F,21
27,C,9
65,Y,10
3,G,2
25,M,18
18,P,13
25,M,14
39,E,29
35,O,11
58,J,7
51,N,29
17,N,5
68,L,26
76,C,13
54,F,24
20,X,11
42,C,27
13,A,16
31,N,18
34,J,13
1,T,22
74,W,10
90,A,14
68,X,22
40,N,5
39,T,4
54,D,30
96,V,30
87,N,16
46,U,16
20,Y,7
48,V,23
60,M,13
19,P,13
83,I,7
8,T,26
38,A,26
52,U,10
80,K,24
89,K,26
3,P,25
36,L,6
20,C,5
49,F,25
66,O,5
4,G,20
8,B,29
40,H,26
31,S,12
75,K,22
26,P,15
82,R,4
22,F,16
95,U,10
65,M,11
15,C,15
80,X,21
75,R,11
38,Q,13
21,E,4
34,X,9
58,N,9
11,A,14
55,Y,6
88,A,12
35,B,20
70,C,7
52,N,19
15,L,14
73,H,30
18,E,20
67,U,22
82,C,11
89,U,13
86,P,1
92,D,9
74,Q,24
73,F,4
81,T,27
1,M,7
99,I,24
83,A,3
88,X,6
23,Z,17
86,C,7
39,Q,28
47,I,3
74,X,21
40,V,14
32,N,9
30,A,22
60,L,26
53,L,6
99,D,26
61,O,22
100,N,23
10,J,3
44,P,9
49,H,27
69,F,13
36,Z,17
1,D,9
31,H,5
50,P,3
66,J,27
42,H,13
35,I,22
40,F,9
38,J,4
61,O,1
77,R,24
97,I,27
52,I,4
65,Y,29
82,I,25
52,L,6
81,Q,6
100,A,2
67,L,28
95,D,2
19,Z,27
2,P,4
9,H,8
60,G,23
45,Y,14
26,Y,15
73,K,18
79,J,9
16,G,18
50,E,28
4,R,30
1,G,17
74,M,4
13,R,12
14,J,22
65,H,17
47,M,19
14,S,16
32,A,30
26,B,26
74,B,22
35,B,14
2,V,30
45,X,3
41,S,27
72,X,8
58,T,28
94,D,2
4,S,22
7,S,22
23,P,26
58,B,23
27,G,17
22,P,19
78,N,15
2,I,27
63,I,30
1,I,21
15,N,27
92,M,6
2,J,29
46,D,4
99,Y,23
65,Y,16
44,L,24
50,S,8
11,Y,22
27,Z,5
3,F,30
60,Y,3
12,I,6
70,M,30
87,X,9
4,T,29
2,S,13
99,F,26
81,I,28
2,W,12
87,B,21
44,T,20
77,P,25
62,W,15
50,C,3
71,H,15
48,Q,23
55,H,13
64,A,11
69,P,24
71,T,22
78,A,11
63,T,13
91,A,2
96,C,12
58,V,19
49,M,1
43,T,15
58,P,14
62,V,5
46,Y,19
70,L,29
58,X,18
28,Q,28
42,D,2
1,A,13
94,F,6
53,W,13
35,C,10
34,U,10
65,H,8
25,E,10
33,U,28
5,Z,21
59,I,19
61,B,30
34,J,22
53,O,18
72,D,24
33,K,5
61,H,24
63,F,25
78,O,7
53,L,16
53,O,18
21,O,15
96,H,3
48,Q,16
90,P,26
91,I,4
84,F,2
87,E,11
35,O,11
48,M,9
40,Q,20
23,P,27
24,M,18
98,F,22
56,H,9
36,I,29
42,J,17
44,X,9
95,S,21
49,U,23
61,J,7
18,M,18
48,U,10
23,U,24
61,D,18
100,O,19
58,B,20
6,Z,26
74,V,19
42,D,16
85,S,19
7,M,16
65,E,27
25,X,17
99,Y,19
44,J,28
54,E,18
18,X,11
50,M,3
65,Z,29
51,G,16
25,L,15
19,O,15
88,X,11
36,T,24
45,A,5
26,F,6
16,U,10
66,R,30
88,W,6
65,W,26
93,T,24
56,Y,11
33,Y,20
74,E,6
80,R,11
12,V,10
68,K,29
18,Q,21
50,T,13
60,P,3
52,O,18
99,I,25
2,Y,30
31,Z,4
64,C,19
45,E,2
20,W,21
61,J,1
81,S,10
76,L,29
96,J,11
23,W,7
34,N,22
99,I,11
57,U,7
55,K,6
10,B,7
55,X,8
50,E,25
40,V,15
80,G,4
25,D,14
74,C,10
72,J,15
76,Q,23
70,A,23
56,H,9
23,H,28
1,Z,29
23,K,5
25,M,2
66,G,22
68,C,3
85,R,27
94,C,29
28,J,3
96,G,26
20,Z,10
41,Z,15
66,L,2
80,D,6
8,V,29
5,J,12
4,W,5
80,C,29
24,A,7
68,A,10
47,U,13
39,Y,12
96,U,18
25,B,18
71,G,2
54,S,21
15,X,22
56,C,3
100,D,4
4,S,2
99,I,7
1,P,24
100,N,21
38,V,4
47,A,2
70,Z,26
1,R,7
69,E,12
63,E,9
